2026-04-18 17:43:23 | WARNING | ERRO [edsp20223348.pdf] https://www2.aneel.gov.br/cedoc/edsp20223348.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:26 | WARNING | ERRO [aarea202212035_1.pdf] https://www2.aneel.gov.br/cedoc/aarea202212035_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:26 | WARNING | ERRO [area2022112011_1.pdf] https://www2.aneel.gov.br/cedoc/area2022112011_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:30 | WARNING | ERRO [area202211917_1.pdf] https://www2.aneel.gov.br/cedoc/area202211917_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:48 | WARNING | ERRO [adsp2022960_1.pdf] https://www2.aneel.gov.br/cedoc/adsp2022960_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:51 | WARNING | ERRO [rea202211647_1.pdf] https://www2.aneel.gov.br/cedoc/rea202211647_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:51 | WARNING | ERRO [area202211728_1.pdf] https://www2.aneel.gov.br/cedoc/area202211728_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:43:55 | WARNING | ERRO [area202211729_1.pdf] https://www2.aneel.gov.br/cedoc/area202211729_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:14 | WARNING | ERRO [area202211730_1.pdf] https://www2.aneel.gov.br/cedoc/area202211730_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:16 | WARNING | ERRO [area202211731_1.pdf] https://www2.aneel.gov.br/cedoc/area202211731_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:17 | WARNING | ERRO [area202211297_1.pdf] https://www2.aneel.gov.br/cedoc/area202211297_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:21 | WARNING | ERRO [area202211314_1ti.pdf] https://www2.aneel.gov.br/cedoc/area202211314_1ti.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:39 | WARNING | ERRO [area202211225_1.pdf] https://www2.aneel.gov.br/cedoc/area202211225_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:42 | WARNING | ERRO [dsp2022366_1.pdf] https://www2.aneel.gov.br/cedoc/dsp2022366_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:44:42 | WARNING | ERRO [aprt2022028_1.pdf] https://www2.aneel.gov.br/cedoc/aprt2022028_1.pdf | HTTPError: HTTP Error 404: 
